feature,importance
white_avg_time_middlegame,0.16307540939490897
white_time_variance_opening,0.12495831810297821
white_avg_time_opening,0.1157975713958282
white_time_variance_middlegame,0.10991860181580815
avg_position_complexity,0.10161059899782658
white_avg_time_endgame,0.08789213954509485
num_moves,0.07594286490538545
white_time_variance_endgame,0.06857015951614442
white_low_time_move_ratio,0.04766099943730433
white_time_trouble_frequency,0.02784572618918343
opening_aggression_score,0.024841787546760852
piece_activity_score,0.009152381372134052
white_avg_centipawn_loss,0.007779038225848808
white_mistake_rate,0.0076785760919500946
white_blunder_rate,0.007529854722481349
white_accuracy_percentage,0.007511230305201031
material_imbalance_freq,0.0073895057155296305
book_deviation_move,0.004845236719631619
